treeID,stemID,tag,StemTag,sp,quadrat,gx,gy,MeasureID,CensusID,dbh,pom,hom,ExactDate,DFstatus,codes,nostems,status,date
23261,29026,13934,13934,PREMON,1216,238.1,319.27,442293,5,156,1.3,1.29,15306,alive,MAIN;A,1,A,NA
23267,29032,13940,13940,PREMON,1216,235.71,309.28,442300,5,154,1.45,1.45,15306,alive,MAIN;A,1,A,NA
23284,29083,13958,13958,PREMON,1316,249.48,302.91,442313,5,166,1.3,1.3,15307,alive,MAIN;A,1,A,NA
23340,29166,14018,14018,DACEXC,1516,298.23,313.68,442361,5,350,1.2,1.18,15310,alive,MAIN;A,1,A,NA
23345,29171,14022,14022,PREMON,1516,298.04,309.27,442364,5,148,1.3,1.3,15310,alive,MAIN;A,1,A,NA
23468,29328,14161,14161,MATDOM,1203,228.71,46.49,442410,5,123,1.3,1.3,15174,alive,MAIN;A,1,A,NA
23672,29588,1439,1439,PREMON,1402,261.7,35.66,434991,5,123,1.3,1.3,15155,alive,MAIN;A,1,A,NA
23686,29616,14406,14406,PREMON,417,69.03,335.05,442528,5,154,1.3,1.3,15313,alive,MAIN;A,1,A,NA
23710,29640,14434,14434,PREMON,517,82.74,329.81,442548,5,148,1.3,1.3,15313,alive,MAIN;A,1,A,NA
23746,29677,14473,14473,PREMON,617,100.27,328.01,442571,5,170,1.3,1.32,15314,alive,MAIN;A,1,A,NA
23755,29689,14481,14481,PREMON,617,105.42,328.82,442578,5,144,1.25,1.25,15314,alive,MAIN;A,1,A,NA
23759,29695,14485,14485,PREMON,617,105.86,323.35,442583,5,208,1.25,1.26,15314,alive,MAIN;A,1,A,NA
23824,29789,14551,14551,ROYBOR,817,150.71,335.9,442642,5,364,1.3,1.3,15315,alive,MAIN;A,1,A,NA
23886,29878,14617,14617,PREMON,1017,181.53,329.68,442700,5,137,1.3,1.3,15356,alive,MAIN;A,1,A,NA
23903,29911,14637,14637,PREMON,1017,193.73,333.83,442708,5,195,1.2,1.2,15357,alive,MAIN;A,1,A,NA
23909,29927,14642,14642,PREMON,1017,190.72,337.01,442712,5,146,1.35,1.35,15357,alive,MAIN;A,1,A,NA
23945,29981,14684,14684,CASARB,1117,218.75,329.75,442735,5,291,1.45,1.46,15358,alive,MAIN;A,1,A,NA
23987,30042,14730,14730,PREMON,1317,247.97,333.94,442774,5,180,1.2,1.2,15359,alive,MAIN;A,1,A,NA
24006,30075,1475,1475,DACEXC,1502,289.69,32.42,435024,5,364,1.3,1.3,15159,alive,MAIN;A,1,A,NA
24111,30216,14866,14866,SCHMOR,1617,316.47,328.89,442876,5,372,1.2,1.2,15363,alive,MAIN;A,1,A,NA
24137,30244,14895,14895,SLOBER,803,142.48,55.56,442890,5,58,1.3,1.3,15169,alive,MAIN;A;ST,2,A,NA
24308,30435,15065,15065,PREMON,318,45.85,347.03,442978,5,169,1.3,1.3,15310,alive,MAIN;A,1,A,NA
24329,30464,1509,1509,DACEXC,1602,308.02,36.01,435051,5,235,1.05,1.07,15160,alive,MAIN;A,1,A,NA
24355,30495,1512,1512,MATDOM,1602,306.16,29.11,435054,5,179,1.3,1.3,15160,alive,MAIN;A,1,A,NA
24399,30562,15172,15172,MANBID,618,118.15,343.14,443041,5,777,1.4,1.38,15315,alive,MAIN;A,1,A,NA
24438,30636,15215,15215,PREMON,818,146.12,346.62,443065,5,196,1.05,1.06,15317,alive,MAIN;A,1,A,NA
24440,30638,15218,15218,PREMON,818,146.52,341.07,443067,5,128,1.3,1.3,15317,alive,MAIN;A,1,A,NA
24473,30679,15255,15255,FICSPP,918,169.13,354.59,443095,5,148,1.3,1.32,15356,alive,MAIN;A,1,A,NA
24492,30700,15274,15274,PREMON,918,175.06,356.05,443113,5,157,1.4,1.38,15356,alive,MAIN;A,1,A,NA
24526,30750,15309,15309,INGLAU,1018,194.21,359.29,443140,5,360,1.4,1.4,15356,alive,MAIN;A,1,A,NA
24585,30851,15367,15367,PREMON,1218,228,342.38,443174,5,152,1.35,1.35,15357,alive,MAIN;A,1,A,NA
24674,30975,1546,1546,BUCTET,1403,266.01,59.82,435071,5,178,1.7,1.7,15180,alive,MAIN;A;ST;T,1,A,NA
24726,31060,1551,1551,MATDOM,1403,268.2,40.87,435077,5,296,1.3,1.3,15181,alive,MAIN;A,1,A,NA
24803,31150,15594,15594,DACEXC,501,98.74,5.78,443305,5,73,1.3,1.3,15147,alive,MAIN;A,1,A,NA
24978,31380,15788,15788,CORSUL,419,63.16,370.89,443418,5,185,1.4,1.4,15315,alive,MAIN;A,1,A,NA
25001,31409,1581,1581,MATDOM,1503,284.03,40.84,435099,5,576,1.3,1.3,15181,alive,MAIN;A,1,A,NA
25054,31495,15869,15869,PREMON,719,120.66,376.16,443490,5,173,1.35,1.37,15317,alive,MAIN;A,1,A,NA
25067,31518,15881,15881,PREMON,719,127.97,362.79,443502,5,135,1.3,1.3,15317,alive,MAIN;A,1,A,NA
25089,31546,15902,15902,PREMON,819,149.38,371.96,443514,5,137,1.25,1.25,15317,alive,MAIN;A,1,A,NA
25231,31794,16055,16055,SCHMOR,1319,259.48,360.54,443623,5,299,1.5,1.5,15359,alive,MAIN;A,1,A,NA
25289,31892,16113,16113,INGVER,1519,299.03,363.14,443660,5,288,1.5,1.5,15362,alive,MAIN;A,1,A,NA
25331,31937,16164,16164,SLOBER,402,70.83,21.05,443689,5,55,1.3,1.3,15145,alive,MAIN;A,1,A,NA
25446,32066,16289,16289,IXOFER,1503,288.88,52.43,443744,5,54,1.3,1.3,15181,alive,MAIN;A,1,A,NA
25472,32096,16312,16312,CORSUL,120,8.3,381.19,443762,5,150,1.3,1.3,15365,alive,MAIN;A,1,A,NA
25488,32130,1633,1633,MATDOM,1603,309.14,40.78,435143,5,239,1.3,1.3,15183,alive,MAIN;A,1,A,NA
25524,32181,16366,16366,PREMON,320,51.9,386.27,443809,5,201,1.2,1.2,15366,alive,MAIN;A,1,A,NA
25534,32193,1638,1638,MATDOM,1603,311.23,48.55,435148,5,328,1.5,1.5,15183,alive,MAIN;A,1,A,NA
25567,32234,1641,1641,DACEXC,1603,310.37,57.63,435151,5,154,1.3,1.3,15183,alive,MAIN;A,2,A,NA
25569,32237,16411,16411,CASARB,420,76.5,393.57,443844,5,180,1.35,1.35,15369,alive,MAIN;A,2,A,NA
25821,32585,16675,16675,BUCTET,1220,224.8,396.84,444015,5,955,2.25,2.26,15379,alive,MAIN;A,2,A,NA
25875,32672,16727,16727,GUAGUI,1420,273.44,391.76,444058,5,161,1.35,1.36,15386,alive,MAIN;A;ST,1,A,NA
26289,33212,17154,17154,PREMON,1121,204.03,415.03,444355,5,156,1.3,1.3,15376,alive,MAIN;A,1,A,NA
26352,33303,17215,17215,PREMON,1221,233.54,418.37,444376,5,124,1.35,1.35,15377,alive,MAIN;A,1,A,NA
26368,33322,1723,1723,TETBAL,203,23.45,51.06,435197,5,84,1.3,1.3,15161,alive,MAIN;A,1,A,NA
26397,33361,17258,17258,PREMON,1321,251.84,419.5,444397,5,179,1.3,1.3,15378,alive,MAIN;A,1,A,NA
26590,33636,17459,17459,PREMON,322,51.22,423.27,444528,5,156,1.3,1.3,15364,alive,MAIN;A,1,A,NA
26651,33706,17518,17518,PREMON,522,89.24,433.92,444571,5,165,1.4,1.42,15369,alive,MAIN;A,1,A,NA
26856,33991,17737,17737,HOMRAC,1222,237.49,437.7,444692,5,115,1.4,1.4,15383,alive,MAIN;A,1,A,NA
26927,34100,17807,17807,PREMON,1422,270.53,435.63,444744,5,119,1.35,1.35,15386,alive,MAIN;A,1,A,NA
26969,34157,17850,17850,CORSUL,1622,303.01,421.31,444763,5,213,1.5,1.5,15386,alive,MAIN;A,1,A,NA
27280,34555,18174,18174,PREMON,823,148.22,458.41,444990,5,143,1.25,1.24,15400,alive,MAIN;A,1,A,NA
27376,34692,18275,18275,BUCTET,1223,220.65,445.42,445060,5,661,2.6,2.6,15405,alive,MAIN;A,1,A,NA
27391,34708,18290,18290,MANBID,1223,230.28,449.91,445072,5,234,1.3,1.3,15405,alive,MAIN;A,1,A,NA
27430,34753,18326,18326,CASARB,1423,260.6,445.63,445097,5,215,1.35,1.34,15387,alive,MAIN;A,1,A,NA
27439,34763,18336,18336,BYRSPI,1423,269.12,451.4,445104,5,493,1.35,1.37,15387,alive,MAIN;A,1,A,NA
27461,34786,18359,18359,PREMON,1523,282.22,441.32,445122,5,149,1.3,1.3,15387,alive,MAIN;A,1,A,NA
27672,35019,18603,18603,DACEXC,124,2.68,465,445225,5,187,1.3,1.3,15385,alive,MAIN;A,1,A,NA
27970,35445,18901,18901,PREMON,924,179.66,476.94,445442,5,164,1.3,1.3,15397,alive,MAIN;A,1,A,NA
27997,35479,18932,18932,MANBID,1124,204.72,470.55,445464,5,256,1.35,1.36,15398,alive,MAIN;A,2,A,NA
28083,35584,19017,19017,CASARB,1424,278.46,467.36,445531,5,228,1.25,1.26,15387,alive,MAIN;A,1,A,NA
28376,35976,19308,19309,CASARB,725,134.73,494.51,445734,5,172,1.3,1.3,15401,alive,SPROUT;A,3,A,NA
